1705,1038
1050,208
1094,1093
1660,30
2790,1885
1984,1723
2685,955
1953,1155
1672,13
2603,299
1894,779
2365,1574
832,256
1325,136
2528,1829
1049,307
1647,43
2140,549
1049,309
95,65
879,269
2985,31
95,62
1500,706
1324,782
2948,87
2163,884
2558,1307
1911,508
1847,213
1073,577
2117,1417
1624,250
966,892
1759,269
879,258
2925,2703
1202,13
1536,299
1659,52
1001,954
2116,310
1301,463
2438,767
2985,13
2985,422
1571,936
2762,471
2738,289
445,196
1953,1123
95,82
1659,44
310,190
967,274
1672,162
2698,185
309,254
1971,293
2022,1023
1113,619
2651,165
1524,421
1224,948
1695,487
2891,2429
2874,178
1413,118
1684,42
2686,321
1348,424
1413,114
2515,65
2702,708
2076,290
2539,38
2606,1531
2698,172
309,245
2304,103
2985,77
2575,2417
1647,594
2816,2430
1684,30
1102,145
1760,172
1573,1314
2515,56
1909,1768
2715,1874
1237,198
2572,1280
2527,30
943,502
1097,205
2101,1846
2527,39
1136,977
1500,738
309,229
1971,262
1213,479
2140,521
2503,92
1173,378
2403,1904
1213,480
1536,267
2897,446
445,154
2937,549
2552,52
2936,31
58,51
222,148
1238,35
1248,658
2527,99
2935,2544
1238,31
393,251
756,124
58,54
2339,307
2902,369
58,55
1236,761
1148,1098
2216,104
2539,74
3006,953
1260,994
1260,996
2539,77
2338,989
2503,486
2527,151
83,11
2640,1180
809,35
2351,2027
1214,58
2552,40
809,31
1238,45
608,356
71,30
2638,447
1692,1460
2638,443
2287,1876
1226,36
1185,244
1923,351
2949,370
2873,732
71,47
3006,939
1325,1272
1623,20
71,41
357,101
2398,2285
83,35
1226,62
2912,93
2572,1296
744,251
83,31
83,33
708,248
1396,1197
2006,7
855,516
222,176
1275,12
2363,519
2216,1964
71,50
1971,219
2924,79
1275,13
1635,771
720,595
83,20
83,52
342,99
2538,567
71,69
95,38
393,295
879,238
95,32
2837,756
71,61
2415,400
95,31
1464,1051
822,40
1284,620
2187,583
556,423
844,123
83,59
1061,738
83,54
83,53
2064,422
967,283
2802,529
1113,636
1611,76
1623,56
2116,328
2375,1327
2439,146
2948,44
2649,2047
95,20
621,105
822,31
2564,66
820,445
844,134
1705,1074
1635,31
1635,32
1659,485
1148,823
1635,746
2874,113
95,51
621,138
1635,48
2540,87
521,247
2514,951
2111,1692
2315,654
2925,691
1237,143
2222,2124
1185,235
2576,13
329,90
329,91
1692,1448
95,49
329,95
2439,126
2040,705
1795,283
83,69
2252,286
1185,221
2270,1133
2443,1253
907,555
1287,49
1512,609
2387,177
366,20
1281,1017
2768,2278
269,205
354,38
2687,1368
907,551
1631,1364
354,44
1236,805
134,119
1946,732
1196,624
1636,160
433,381
134,112
1700,457
1062,112
1361,125
1336,589
2973,1895
1263,68
2039,786
2127,738
1085,340
1472,564
2453,1183
270,101
1287,54
1172,963
1970,948
2427,366
222,201
2064,490
3001,1346
1935,187
2586,532
366,40
521,206
134,132
